subject,trial_number,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,response,time_of_response,subject_number,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset,response_hand,response_cleaned,response_lat,response_lat_cleaned,response_meaning,response_meaning_cleaned,condition_mot,condition_val,condition,correct,correct_cleaned,rt
sub-108,1,3,TRUE,right,avoid,neg,fungus9_crop.jpg,1,1,TRUE,0,2,1334.3531,108,EAT                                    DON'T EAT,1332.3625,1328.3423,1317.297,right,2,right,right,not_eat,not_eat,approach,pos,approach-pos,1,1,1990.6000000000931
sub-108,2,3,FALSE,right,approach,pos,cake26_crop.jpg,1,1,TRUE,1,1,1335.7784,108,EAT                                    DON'T EAT,1334.3805,1328.3423,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,1397.8999999999069
sub-108,3,3,FALSE,right,approach,pos,cake31_crop.jpg,1,1,TRUE,2,1,1337.1768,108,EAT                                    DON'T EAT,1336.3987,1328.3423,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,778.1000000000931
sub-108,4,3,FALSE,right,approach,pos,cake4_crop.jpg,1,1,TRUE,3,1,1339.2307,108,EAT                                    DON'T EAT,1338.4203,1328.3423,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,810.4000000001397
sub-108,5,3,FALSE,right,approach,pos,cake9_crop.jpg,1,1,TRUE,4,1,1341.2172,108,EAT                                    DON'T EAT,1340.438,1328.3423,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,779.1999999999534
sub-108,6,3,FALSE,right,approach,pos,cake36_crop.jpg,1,1,TRUE,5,1,1343.2549,108,EAT                                    DON'T EAT,1342.454,1328.3423,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,800.8999999999069
sub-108,7,3,FALSE,right,approach,pos,cake20_crop.jpg,1,1,TRUE,6,1,1345.2638,108,EAT                                    DON'T EAT,1344.4724,1328.3423,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,791.3999999999069
sub-108,8,3,TRUE,right,avoid,pos,meat10_crop.jpg,1,1,TRUE,7,2,1347.5464,108,EAT                                    DON'T EAT,1346.4906,1328.3423,1317.297,right,2,right,right,not_eat,not_eat,approach,pos,approach-pos,1,1,1055.7999999998137
sub-108,9,3,FALSE,right,approach,pos,cake13_crop.jpg,1,1,TRUE,8,1,1349.4357,108,EAT                                    DON'T EAT,1348.509,1328.3423,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,926.6999999999534
sub-108,10,3,FALSE,right,approach,pos,cake12_crop.jpg,1,1,TRUE,9,1,1351.8242,108,EAT                                    DON'T EAT,1350.5275,1328.3423,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,1296.6999999999534
sub-108,11,0,FALSE,left,approach,pos,cake19_crop.jpg,1,2,TRUE,10,1,1370.8711,108,EAT                                    DON'T EAT,1369.5431,1365.5231,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,1328
sub-108,12,0,FALSE,left,approach,pos,cake22_crop.jpg,1,2,TRUE,11,1,1372.1534,108,EAT                                    DON'T EAT,1371.5614,1365.5231,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,591.9999999997672
sub-108,13,0,TRUE,left,avoid,pos,meat18_crop.jpg,1,2,TRUE,12,2,1374.6975,108,EAT                                    DON'T EAT,1373.5796,1365.5231,1317.297,right,2,right,right,not_eat,not_eat,approach,pos,approach-pos,1,1,1117.8999999999069
sub-108,14,0,TRUE,left,avoid,neg,fungus16_crop.jpg,1,2,TRUE,13,2,1376.7168,108,EAT                                    DON'T EAT,1375.5979,1365.5231,1317.297,right,2,right,right,not_eat,not_eat,approach,pos,approach-pos,1,1,1118.8999999999069
sub-108,15,0,FALSE,left,approach,pos,cake23_crop.jpg,1,2,TRUE,14,1,1378.4281,108,EAT                                    DON'T EAT,1377.6166,1365.5231,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,811.5
sub-108,16,0,FALSE,left,approach,pos,cake29_crop.jpg,1,2,TRUE,15,1,1380.3688,108,EAT                                    DON'T EAT,1379.6348,1365.5231,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,734
sub-108,17,0,FALSE,left,approach,pos,cake20_crop.jpg,1,2,TRUE,16,1,1382.2821,108,EAT                                    DON'T EAT,1381.653,1365.5231,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,629.0999999998603
sub-108,18,0,FALSE,left,approach,pos,cake32_crop.jpg,1,2,TRUE,17,1,1384.4943,108,EAT                                    DON'T EAT,1383.6713,1365.5231,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,823
sub-108,19,0,FALSE,left,approach,pos,cake18_crop.jpg,1,2,TRUE,18,1,1386.5225,108,EAT                                    DON'T EAT,1385.6898,1365.5231,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,832.6999999999534
sub-108,20,0,FALSE,left,approach,pos,cake10_crop.jpg,1,2,TRUE,19,1,1388.4346,108,EAT                                    DON'T EAT,1387.7079,1365.5231,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,726.6999999999534
sub-108,21,0,FALSE,right,approach,pos,cake18_crop.jpg,1,3,TRUE,20,1,1405.686,108,EAT                                    DON'T EAT,1404.8225,1400.8024,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,863.5
sub-108,22,0,FALSE,right,approach,pos,cake30_crop.jpg,1,3,TRUE,21,1,1407.4121,108,EAT                                    DON'T EAT,1406.8407,1400.8024,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,571.4000000001397
sub-108,23,0,TRUE,right,avoid,neg,fungus5_crop.jpg,1,3,TRUE,22,2,1409.849,108,EAT                                    DON'T EAT,1408.8591,1400.8024,1317.297,right,2,right,right,not_eat,not_eat,approach,pos,approach-pos,1,1,989.9000000001397
sub-108,24,0,FALSE,right,approach,pos,cake24_crop.jpg,1,3,TRUE,23,1,1411.6887,108,EAT                                    DON'T EAT,1410.8777,1400.8024,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,811
sub-108,25,0,FALSE,right,approach,pos,cake14_crop.jpg,1,3,TRUE,24,1,1413.4648,108,EAT                                    DON'T EAT,1412.8959,1400.8024,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,568.9000000001397
sub-108,26,0,FALSE,right,approach,pos,cake25_crop.jpg,1,3,TRUE,25,1,1415.5254,108,EAT                                    DON'T EAT,1414.9142,1400.8024,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,611.1999999999534
sub-108,27,0,TRUE,right,avoid,pos,meat28_crop.jpg,1,3,TRUE,26,2,1417.8939,108,EAT                                    DON'T EAT,1416.9325,1400.8024,1317.297,right,2,right,right,not_eat,not_eat,approach,pos,approach-pos,1,1,961.4000000001397
sub-108,28,0,FALSE,right,approach,pos,cake2_crop.jpg,1,3,TRUE,27,1,1419.689,108,EAT                                    DON'T EAT,1418.9506,1400.8024,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,738.4000000001397
sub-108,29,0,FALSE,right,approach,pos,cake16_crop.jpg,1,3,TRUE,28,1,1422.4279,108,EAT                                    DON'T EAT,1420.9686,1400.8024,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,1459.3000000000466
sub-108,30,0,FALSE,right,approach,pos,cake6_crop.jpg,1,3,TRUE,29,1,1424.0721,108,EAT                                    DON'T EAT,1422.9875,1400.8024,1317.297,right,1,left,left,eat,eat,approach,pos,approach-pos,1,1,1084.6000000000931
sub-108,31,1,TRUE,right,avoid,neg,fungus40_crop.jpg,1,4,TRUE,30,2,1443.2255,108,EAT                                    DON'T EAT,1442.0868,1438.0668,1317.297,right,2,right,right,not_eat,not_eat,approach,neg,approach-neg,1,1,1138.6999999999534
sub-108,32,1,TRUE,right,avoid,pos,meat7_crop.jpg,1,4,TRUE,31,2,1445.6344,108,EAT                                    DON'T EAT,1444.1052,1438.0668,1317.297,right,2,right,right,not_eat,not_eat,approach,neg,approach-neg,1,1,1529.1999999999534
sub-108,33,1,FALSE,right,approach,neg,insect31_crop.jpg,1,4,TRUE,32,1,1447.0713,108,EAT                                    DON'T EAT,1446.1234,1438.0668,1317.297,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,947.9000000001397
sub-108,34,1,FALSE,right,approach,neg,insect34_crop.jpg,1,4,TRUE,33,1,1448.8246,108,EAT                                    DON'T EAT,1448.1417,1438.0668,1317.297,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,682.8999999999069
sub-108,35,1,FALSE,right,approach,neg,insect11_crop.jpg,1,4,TRUE,34,1,1450.7706,108,EAT                                    DON'T EAT,1450.16,1438.0668,1317.297,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,610.6000000000931
sub-108,36,1,FALSE,right,approach,neg,insect36_crop.jpg,1,4,TRUE,35,1,1452.8203,108,EAT                                    DON'T EAT,1452.1781,1438.0668,1317.297,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,642.1999999999534
sub-108,37,1,FALSE,right,approach,neg,insect14_crop.jpg,1,4,TRUE,36,1,1454.8386,108,EAT                                    DON'T EAT,1454.1968,1438.0668,1317.297,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,641.8000000000466
sub-108,38,1,FALSE,right,approach,neg,insect16_crop.jpg,1,4,TRUE,37,1,1456.9014,108,EAT                                    DON'T EAT,1456.2152,1438.0668,1317.297,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,686.1999999997206
sub-108,39,1,FALSE,right,approach,neg,insect33_crop.jpg,1,4,TRUE,38,1,1458.7731,108,EAT                                    DON'T EAT,1458.2334,1438.0668,1317.297,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,539.6999999999534
sub-108,40,1,FALSE,right,approach,neg,insect4_crop.jpg,1,4,TRUE,39,1,1460.8734,108,EAT                                    DON'T EAT,1460.2516,1438.0668,1317.297,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,621.7999999998137
sub-108,41,0,TRUE,left,approach,neg,insect38_crop.jpg,1,5,TRUE,40,1,1477.3375,108,EAT                                    DON'T EAT,1476.4319,1472.4119,1317.297,right,1,left,left,eat,eat,avoid,pos,avoid-pos,1,1,905.5999999998603
sub-108,42,0,FALSE,left,avoid,pos,meat4_crop.jpg,1,5,TRUE,41,2,1479.4009,108,EAT                                    DON'T EAT,1478.4502,1472.4119,1317.297,right,2,right,right,not_eat,not_eat,avoid,pos,avoid-pos,1,1,950.7000000001863
