TrialNumber,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,response,RT,Subject number,n_b,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset
1,1,False,left,avoid,pos,meat20_crop.jpg,1,1,1.0,0.0,2,1304.6132,1550.0,1.0,EAT                                    DON'T EAT,1303.115,1299.0947,1288.5087
2,1,False,left,avoid,pos,meat25_crop.jpg,1,1,1.0,1.0,2,1306.3138,1550.0,1.0,EAT                                    DON'T EAT,1305.1332,1299.0947,1288.5087
3,1,False,left,avoid,pos,meat31_crop.jpg,1,1,1.0,2.0,2,1307.9325,1550.0,1.0,EAT                                    DON'T EAT,1307.1516,1299.0947,1288.5087
4,1,False,left,avoid,pos,meat18_crop.jpg,1,1,1.0,3.0,2,1310.1511,1550.0,1.0,EAT                                    DON'T EAT,1309.173,1299.0947,1288.5087
5,1,False,left,avoid,pos,meat10_crop.jpg,1,1,1.0,4.0,2,1311.7926,1550.0,1.0,EAT                                    DON'T EAT,1311.1902,1299.0947,1288.5087
6,1,False,left,avoid,pos,meat27_crop.jpg,1,1,1.0,5.0,2,1313.8265,1550.0,1.0,EAT                                    DON'T EAT,1313.2067,1299.0947,1288.5087
7,1,False,left,avoid,pos,meat40_crop.jpg,1,1,1.0,6.0,2,1315.8895,1550.0,1.0,EAT                                    DON'T EAT,1315.225,1299.0947,1288.5087
8,1,True,left,approach,neg,insect7_crop.jpg,1,1,1.0,7.0,1,1317.9784,1550.0,1.0,EAT                                    DON'T EAT,1317.2433,1299.0947,1288.5087
9,1,False,left,avoid,pos,meat26_crop.jpg,1,1,1.0,8.0,2,1320.0074,1550.0,1.0,EAT                                    DON'T EAT,1319.2614,1299.0947,1288.5087
10,1,True,left,approach,pos,cake32_crop.jpg,1,1,1.0,9.0,1,1322.4373,1550.0,1.0,EAT                                    DON'T EAT,1321.2802,1299.0947,1288.5087
11,3,False,left,approach,neg,insect15_crop.jpg,1,2,1.0,10.0,1,1341.6218,1550.0,2.0,EAT                                    DON'T EAT,1340.6963,1336.6758,1288.5087
12,3,False,left,approach,neg,insect18_crop.jpg,1,2,1.0,11.0,1,1343.2521,1550.0,2.0,EAT                                    DON'T EAT,1342.7142,1336.6758,1288.5087
13,3,False,left,approach,neg,insect9_crop.jpg,1,2,1.0,12.0,1,1345.2694,1550.0,2.0,EAT                                    DON'T EAT,1344.7328,1336.6758,1288.5087
14,3,False,left,approach,neg,insect16_crop.jpg,1,2,1.0,13.0,1,1347.3003,1550.0,2.0,EAT                                    DON'T EAT,1346.7512,1336.6758,1288.5087
15,3,True,left,avoid,pos,meat39_crop.jpg,1,2,1.0,14.0,2,1349.9092,1550.0,2.0,EAT                                    DON'T EAT,1348.7695,1336.6758,1288.5087
16,3,False,left,approach,neg,insect39_crop.jpg,1,2,1.0,15.0,1,1351.43,1550.0,2.0,EAT                                    DON'T EAT,1350.7878,1336.6758,1288.5087
17,3,True,left,avoid,neg,fungus2_crop.jpg,1,2,1.0,16.0,2,1354.0093,1550.0,2.0,EAT                                    DON'T EAT,1352.8062,1336.6758,1288.5087
18,3,False,left,approach,neg,insect3_crop.jpg,1,2,1.0,17.0,1,1355.414,1550.0,2.0,EAT                                    DON'T EAT,1354.8245,1336.6758,1288.5087
19,3,False,left,approach,neg,insect27_crop.jpg,1,2,1.0,18.0,1,1357.4329,1550.0,2.0,EAT                                    DON'T EAT,1356.8428,1336.6758,1288.5087
20,3,False,left,approach,neg,insect40_crop.jpg,1,2,1.0,19.0,1,1359.3978,1550.0,2.0,EAT                                    DON'T EAT,1358.8612,1336.6758,1288.5087
21,0,False,right,approach,pos,cake38_crop.jpg,1,3,1.0,20.0,1,1376.6046,1550.0,3.0,EAT                                    DON'T EAT,1375.4415,1371.4216,1288.5087
22,0,False,right,approach,pos,cake19_crop.jpg,1,3,1.0,21.0,1,1378.0385,1550.0,3.0,EAT                                    DON'T EAT,1377.4601,1371.4216,1288.5087
23,0,False,right,approach,pos,cake11_crop.jpg,1,3,1.0,22.0,1,1379.9955,1550.0,3.0,EAT                                    DON'T EAT,1379.4778,1371.4216,1288.5087
24,0,False,right,approach,pos,cake1_crop.jpg,1,3,1.0,23.0,1,1382.1195,1550.0,3.0,EAT                                    DON'T EAT,1381.4967,1371.4216,1288.5087
25,0,False,right,approach,pos,cake18_crop.jpg,1,3,1.0,24.0,1,1384.1892,1550.0,3.0,EAT                                    DON'T EAT,1383.515,1371.4216,1288.5087
26,0,True,right,avoid,pos,meat33_crop.jpg,1,3,1.0,25.0,2,1386.848,1550.0,3.0,EAT                                    DON'T EAT,1385.5334,1371.4216,1288.5087
27,0,False,right,approach,pos,cake15_crop.jpg,1,3,1.0,26.0,1,1388.3677,1550.0,3.0,EAT                                    DON'T EAT,1387.5511,1371.4216,1288.5087
28,0,True,right,avoid,neg,fungus37_crop.jpg,1,3,1.0,27.0,2,1390.515,1550.0,3.0,EAT                                    DON'T EAT,1389.5696,1371.4216,1288.5087
29,0,False,right,approach,pos,cake27_crop.jpg,1,3,1.0,28.0,1,1392.1578,1550.0,3.0,EAT                                    DON'T EAT,1391.5884,1371.4216,1288.5087
30,0,False,right,approach,pos,cake40_crop.jpg,1,3,1.0,29.0,1,1394.2916,1550.0,3.0,EAT                                    DON'T EAT,1393.6067,1371.4216,1288.5087
31,0,False,left,approach,neg,insect25_crop.jpg,1,4,1.0,30.0,1,1412.8391,1550.0,4.0,EAT                                    DON'T EAT,1412.0387,1408.0186,1288.5087
32,0,False,left,approach,neg,insect32_crop.jpg,1,4,1.0,31.0,1,1414.5431,1550.0,4.0,EAT                                    DON'T EAT,1414.0571,1408.0186,1288.5087
33,0,False,left,approach,neg,insect19_crop.jpg,1,4,1.0,32.0,1,1417.0029,1550.0,4.0,EAT                                    DON'T EAT,1416.0753,1408.0186,1288.5087
34,0,True,left,avoid,neg,fungus17_crop.jpg,1,4,1.0,33.0,2,1418.9934,1550.0,4.0,EAT                                    DON'T EAT,1418.0936,1408.0186,1288.5087
35,0,False,left,approach,neg,insect6_crop.jpg,1,4,1.0,34.0,1,1420.6592,1550.0,4.0,EAT                                    DON'T EAT,1420.1119,1408.0186,1288.5087
36,0,True,left,avoid,pos,meat34_crop.jpg,1,4,1.0,35.0,2,1423.8806,1550.0,4.0,EAT                                    DON'T EAT,1422.1305,1408.0186,1288.5087
37,0,False,left,approach,neg,insect24_crop.jpg,1,4,1.0,36.0,1,1425.0767,1550.0,4.0,EAT                                    DON'T EAT,1424.1489,1408.0186,1288.5087
38,0,False,left,approach,neg,insect5_crop.jpg,1,4,1.0,37.0,1,1427.1387,1550.0,4.0,EAT                                    DON'T EAT,1426.1671,1408.0186,1288.5087
39,0,False,left,approach,neg,insect13_crop.jpg,1,4,1.0,38.0,1,1428.6688,1550.0,4.0,EAT                                    DON'T EAT,1428.1854,1408.0186,1288.5087
40,0,False,left,approach,neg,insect35_crop.jpg,1,4,1.0,39.0,1,1430.6371,1550.0,4.0,EAT                                    DON'T EAT,1430.2037,1408.0186,1288.5087
